year,population,gdp,steel,coal,oil,gas,co2
1950,2.499322112,0.89,189,11332.575,6055.578,2136.6338,6.003272
1951,2.543130368,0.94,205,11939.019,6867.236,2534.5093,6.379796
1952,2.590270976,0.99,221,11870.501,7218.299,2729.6267,6.465727
1953,2.640278784,1.04,237,11923.186,7632.513,2886.345,6.647763
1954,2.691979264,1.09,253,11769.438,7990.694,3027.5981,6.789969
1955,2.746072064,1.14,270,12787.882,8955.483,3293.563,7.443244
1956,2.801002752,1.19,285,13514.091,9745.858,3571.7498,7.924253
1957,2.857866752,1.24,300,13893.758,10270.767,3880.7158,8.185547
1958,2.916108032,1.29,315,14332.808,10527.977,4174.047,8.417624
1959,2.970292224,1.34,330,14854.895,11360.858,4659.676,8.856221
1960,3.019233536,1.39,347,15475.8,12240.843,5072.3237,9.387668
1961,3.068370688,1.45,368,14579.534,13029.392,5449.4346,9.41846
1962,3.12668672,1.55,389,14930.751,14133.672,5961.9946,9.75106
1963,3.195779328,1.67,410,15383.595,15164.043,6523.504,10.271655
1964,3.267212288,1.83,431,16064.467,16376.738,7127.6064,10.829612
1965,3.337112064,1.99,456,16381.558,18231.082,7638.4854,11.317596
1966,3.406416896,2.16,483,16608.723,19796.81,8219.038,11.866934
1967,3.475448064,2.3,510,16018.826,21238.463,8845.135,12.244029
1968,3.54681088,2.49,537,16464.762,23170.031,9675.573,12.910892
1969,3.62065536,2.74,564,16797.79,24940.334,10625.758,13.767398
1970,3.695390208,3,595,17469.682,27433.885,9760.895,14.898716
1971,3.7701632,3.31,604.8,17310.953,29000.791,10441.196,15.505496
1972,3.844800768,3.82,614,17251.293,30649.97,10955.484,16.228729
1973,3.920251392,4.66,624,17558.373,33445.125,11482.701,17.086193
1974,3.995516928,5.37,634,17712.754,33519.68,11725.1045,17.017477
1975,4.069437184,5.98,644,18767.678,31837.768,11750.103,17.054627
1976,4.142505728,6.5,658,19299.518,34590.74,12256.78,17.991887
1977,4.215772416,7.35,672,19885.986,35798.867,12774.161,18.502846
1978,4.2896576,8.66,686,20194.787,36124.168,13206.606,19.077193
1979,4.365582848,10.05,700,21380.146,37653.043,14097.021,19.618463
1980,4.444007936,11.34,717,20968.074,35949.586,14283.338,19.501264
1981,4.524627456,11.73,717.4,21445.264,33877.83,14530.98,19.036117
1982,4.60798464,11.61,717.8,22204.45,32537.879,14597.488,18.884486
1983,4.691884032,11.84,718.2,22137.21,32122.488,14728.06,19.006539
1984,4.77583616,12.27,718.6,23105.666,32752.213,15988.619,19.664754
1985,4.861730816,12.86,719,24276.508,32465.695,16410.344,20.325486
1986,4.950063104,15.21,729,24852.295,34069.387,16834.785,20.627359
1987,5.040984576,17.31,739.4,25321.266,34148.08,17678.578,21.273904
1988,5.132294144,19.34,749.6,25936.305,35607.57,18457.768,22.107795
1989,5.223704064,20.2,759.8,26394.465,36037.492,19096.994,22.410402
1990,5.316175872,22.78,770,26344.955,36726.777,19697.166,22.75748
1991,5.406245888,23.76,766.6,25628.816,36627.695,19959.69,23.244807
1992,5.492686336,25.41,763.2,25572.445,37157.977,20018.342,22.580023
1993,5.5774336,25.83,759.8,24802.262,37105.15,20246.297,22.8129
1994,5.660727808,27.88,756.4,25371.623,37619.203,20542.52,22.969498
1995,5.743219712,31.05,753,26146.615,38135.51,20883.502,23.458713
1996,5.825145344,31.74,772.4,26501.201,39151.24,21899.965,24.159383
1997,5.906481152,31.63,791.8,26889.982,40023.2,21882.973,24.302584
1998,5.98731264,31.55,811.2,26406.455,41034.707,22462.334,24.21326
1999,6.067758592,32.75,830.6,26415.219,40104.688,23102.752,24.732389
2000,6.148898816,33.84,850,26801.97,41844.168,24007.168,25.453623
2001,6.230747136,33.62,852,27938.29,41841.914,24574.18,25.668049
2002,6.312407552,34.92,905,28275.645,41337.14,25147.338,26.281037
2003,6.393898496,39.15,971,30349.32,43173.34,26046.873,27.651596
2004,6.475751424,44.12,1063,32973.28,45335.406,26932.479,28.636695
2005,6.558176256,47.78,1148,35048.484,45723.043,27577.684,29.614602
2006,6.641416192,51.78,1250,36816.934,46130.555,28518.16,30.593117
2007,6.725948416,58.35,1350,38440.793,46036.695,29278.646,31.506789
2008,6.811597312,64.12,1345,39704.37,46524.33,30350.31,32.085836
2009,6.898306048,60.8,1241,39646.293,45365.8,29409.021,31.564031
2010,6.985603072,66.61,1435,41774.6,46264.992,31502.096,33.364348
2011,7.073125376,73.86,1540,44738.312,46622.28,32575.62,34.487012
2012,7.161697792,75.5,1562,45209.387,47921.215,33261.883,35.00627
2013,7.25059328,77.61,1652,45935.535,47986.426,33656.94,35.319203
2014,7.339013632,79.73,1674,45822.684,49112.78,34356.016,35.577535
2015,7.426597376,75.19,1623,44548.598,50762.11,35078.39,35.558566
2016,7.513474048,76.46,1632,42106.707,50904.277,35444.734,35.524191
2017,7.599822336,81.4,1735,43059.48,50996.598,36718.73,36.096738
2018,7.683789824,86.46,1827,45083.88,52190.7,38558.2,36.826508
2019,7.76495104,87.65,1875,45541.91,52092.734,39684.312,37.082559
2020,7.840952832,85.11,1879,43394.56,48560.844,38606,35.264086
2021,7.909295104,96.51,1951,45137.516,49192.05,40534.203,37.123852
